Name,Price,Sold By,Location,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission
Honda City 5th (GM2) Generation 2016 Aspire 1.3 i-VTEC for Sale,PKR 33lacs,N/A,Lahore,2016,"79,000 km",Petrol,1300 cc,Manual
Nissan Clipper  2017  for Sale,PKR 12lacs,N/A,Gujranwala,2017,"99,000 km",Petrol,660 cc,Manual
Honda Vamos  2015 M STYLISH PACKAGE for Sale,PKR 15.8lacs,N/A,Lahore,2015,"81,000 km",Petrol,660 cc,Automatic
Toyota Corolla Axio  2007 X 1.5 for Sale,PKR 33.9lacs,N/A,Lakki marwat,2007,"110,000 km",Petrol,1500 cc,Automatic
Honda Vamos  2015  for Sale,PKR 13.5lacs,N/A,Lahore,2015,"380,000 km",Petrol,660 cc,Automatic
Honda Civic  2001 EXi Prosmatec for Sale,PKR 13.65lacs,N/A,Lahore,2001,"163,742 km",Petrol,1500 cc,Automatic
MG HS  2022 Trophy for Sale,PKR 67.5lacs,N/A,Karachi,2022,"12,800 km",Petrol,1500 cc,Automatic
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC for Sale,PKR 29.5lacs,N/A,Lahore,2016,"160,000 km",Petrol,1300 cc,Manual
Toyota Aqua  2015 S for Sale,PKR 42lacs,N/A,Rawalpindi,2015,"151,000 km",Hybrid,1500 cc,Automatic
Toyota Aqua  2017 S for Sale,PKR 43.5lacs,N/A,Karachi,2017,"85,000 km",Hybrid,1500 cc,Automatic
Honda Civic Reborn 2007 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 23.25lacs,N/A,Faisalabad,2007,"140,000 km",Petrol,1800 cc,Automatic
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 22.25lacs,N/A,Lahore,2010,"150,000 km",Petrol,1300 cc,Manual
Toyota Corolla  2019 Altis Grande CVT-i 1.8 for Sale,PKR 55lacs,N/A,Lahore,2019,"80,000 km",Petrol,1800 cc,Automatic
Honda Civic Eagle Eye 2005 EXi for Sale,PKR 19.25lacs,N/A,Islamabad,2005,"215,000 km",Petrol,1500 cc,Manual
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 57lacs,N/A,Faisalabad,2019,"64,000 km",Petrol,1800 cc,Automatic
Toyota Premio  2004 F 1.5 for Sale,PKR 24lacs,N/A,Multan,2004,"117,000 km",Petrol,1500 cc,Automatic
Toyota Corolla 9th (E120) Generation 2005 GLi 1.3 for Sale,PKR 21lacs,N/A,Islamabad,2005,"55,000 km",Petrol,1300 cc,Manual
Honda Civic  2021 1.8 i-VTEC CVT for Sale,PKR 57.5lacs,N/A,Hyderabad,2021,"37,000 km",Petrol,1800 cc,Automatic
Toyota C-HR  2018 G for Sale,Call,N/A,Karachi,2018,"61,000 km",Hybrid,1800 cc,Automatic
Toyota Prado  2011 TZ G 4.0 for Sale,PKR 1.9crore,N/A,Islamabad,2011,"66,000 km",Petrol,4000 cc,Automatic
Toyota Fortuner  2023 GR-S for Sale,PKR 2.08crore,N/A,Islamabad,2023,"23,000 km",Diesel,2800 cc,Automatic
Honda Civic  2022 Oriel 1.8 i-VTEC CVT for Sale,PKR 72lacs,N/A,Islamabad,2022,"16,000 km",Petrol,1800 cc,Automatic
Honda Vezel  2019 Hybrid Z for Sale,PKR 85lacs,N/A,Karachi,2019,"56,000 km",Hybrid,1500 cc,Automatic
Changan Alsvin  2021 1.5L DCT Comfort for Sale,PKR 40lacs,N/A,Lahore,2021,"3,000 km",Petrol,1500 cc,Automatic
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 27.5lacs,N/A,Rawalpindi,2010,"200,000 km",Petrol,1300 cc,Manual
Honda City 5th (GM2) Generation 2020 1.3 i-VTEC Prosmatec for Sale,PKR 41.5lacs,N/A,Lahore,2020,"45,000 km",Petrol,1300 cc,Automatic
Nissan Kicks  2021  for Sale,Call,N/A,Lahore,2021,"36,000 km",Hybrid,1200 cc,Automatic
Audi e-tron  2020 50 Quattro 230 kW for Sale,PKR 1.95crore,N/A,Lahore,2020,"40,832 km",Electric,60.0 kWh,Automatic
Toyota Corolla  2022 Altis X Automatic 1.6 for Sale9.7/10,PKR 63lacs,N/A,Islamabad,2022,"21,280 km",Petrol,1598 cc,Automatic
Changan Alsvin  2021 1.5L DCT Lumiere for Sale,PKR 29.9lacs,N/A,Karachi,2021,"28,500 km",Petrol,1500 cc,Automatic
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 57lacs,N/A,Faisalabad,2019,"64,000 km",Petrol,1800 cc,Automatic
Toyota Premio  2004 F 1.5 for Sale,PKR 24lacs,N/A,Multan,2004,"117,000 km",Petrol,1500 cc,Automatic
Toyota Corolla 9th (E120) Generation 2005 GLi 1.3 for Sale,PKR 21lacs,N/A,Islamabad,2005,"55,000 km",Petrol,1300 cc,Manual
Honda Civic  2021 1.8 i-VTEC CVT for Sale,PKR 57.5lacs,N/A,Hyderabad,2021,"37,000 km",Petrol,1800 cc,Automatic
Toyota Aqua  2012 G for Sale,PKR 32.75lacs,N/A,Lahore,2012,"129,000 km",Hybrid,1500 cc,Automatic
Honda City  2006 i-DSI for Sale5.3/10,PKR 20lacs,N/A,Faisalabad,2006,"170,561 km",Petrol,1300 cc,Manual
KIA Sportage  2023 AWD for Sale,PKR 77.5lacs,N/A,Lahore,2023,"44,000 km",Petrol,2000 cc,Automatic
Honda Grace Hybrid  2015 EX for Sale,PKR 42lacs,N/A,Karachi,2015,"63,000 km",Hybrid,1500 cc,Automatic
Toyota Corolla  2018 GLi Automatic 1.3 VVTi for Sale,PKR 42lacs,N/A,Karachi,2018,"62,000 km",Petrol,1300 cc,Automatic
